source_version_id,source_file,target_image_id,target_file,source_id,target_id,sha256_equal,sha256_score,phash_score,dhash_score,histogram_score,fusion_score
V001,01_original.jpg,IMG002,02_compressed.jpg,IMG001,IMG002,False,0.0,1.0,1.0,0.999917,0.799992
V001,01_original.jpg,IMG003,03_add_caption.jpg,IMG001,IMG003,False,0.0,0.75,0.890625,0.916756,0.665894
V002,02_compressed.jpg,IMG003,03_add_caption.jpg,IMG002,IMG003,False,0.0,0.75,0.890625,0.916663,0.665885
V001,01_original.jpg,IMG004,04_cropped.jpg,IMG001,IMG004,False,0.0,0.65625,0.671875,0.964025,0.561246
V002,02_compressed.jpg,IMG004,04_cropped.jpg,IMG002,IMG004,False,0.0,0.65625,0.671875,0.963335,0.561177
V003,03_add_caption.jpg,IMG004,04_cropped.jpg,IMG003,IMG004,False,0.0,0.5625,0.625,0.89219,0.504844
V001,01_original.jpg,IMG005,05_brightness.jpg,IMG001,IMG005,False,0.0,0.96875,1.0,0.662464,0.755309
V002,02_compressed.jpg,IMG005,05_brightness.jpg,IMG002,IMG005,False,0.0,0.96875,1.0,0.661492,0.755212
V003,03_add_caption.jpg,IMG005,05_brightness.jpg,IMG003,IMG005,False,0.0,0.75,0.890625,0.639291,0.638148
V004,04_cropped.jpg,IMG005,05_brightness.jpg,IMG004,IMG005,False,0.0,0.625,0.671875,0.737496,0.527656
V001,01_original.jpg,IMG006,06_blur.jpg,IMG001,IMG006,False,0.0,1.0,0.984375,0.997457,0.794277
V002,02_compressed.jpg,IMG006,06_blur.jpg,IMG002,IMG006,False,0.0,1.0,0.984375,0.997638,0.794295
V003,03_add_caption.jpg,IMG006,06_blur.jpg,IMG003,IMG006,False,0.0,0.75,0.875,0.920319,0.660782
V004,04_cropped.jpg,IMG006,06_blur.jpg,IMG004,IMG006,False,0.0,0.65625,0.65625,0.9505,0.554425
V005,05_brightness.jpg,IMG006,06_blur.jpg,IMG005,IMG006,False,0.0,0.96875,0.984375,0.648326,0.748426
V001,01_original.jpg,IMG007,07_different.jpg,IMG001,IMG007,False,0.0,0.4375,0.609375,0.707282,0.437134
V002,02_compressed.jpg,IMG007,07_different.jpg,IMG002,IMG007,False,0.0,0.4375,0.609375,0.708536,0.43726
V003,03_add_caption.jpg,IMG007,07_different.jpg,IMG003,IMG007,False,0.0,0.46875,0.625,0.708904,0.453703
V004,04_cropped.jpg,IMG007,07_different.jpg,IMG004,IMG007,False,0.0,0.5,0.5625,0.645515,0.436426
V005,05_brightness.jpg,IMG007,07_different.jpg,IMG005,IMG007,False,0.0,0.4375,0.609375,0.492718,0.415678
V006,06_blur.jpg,IMG007,07_different.jpg,IMG006,IMG007,False,0.0,0.4375,0.59375,0.73123,0.434061
